timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.09657,0.10957,0.13694,0.1791,0.24226,-1,-0.88249,-4.46339,-2.5151
none,0.09523,0.10835,0.13651,0.17999,0.23942,-1,-0.88247,-4.46547,-2.5078
none,0.0975,0.11051,0.13617,0.17764,0.23688,-1,-0.88194,-4.46232,-2.502
none,0.09642,0.11232,0.13592,0.17878,0.23883,-1,-0.88115,-4.45903,-2.5058
none,0.09909,0.10915,0.13536,0.17961,0.23623,-1,-0.88074,-4.4645,-2.4998
none,0.0986,0.11192,0.13675,0.1777,0.23441,-1,-0.87999,-4.45742,-2.4938
none,0.10131,0.11396,0.13863,0.17918,0.23283,-1,-0.87898,-4.44598,-2.4851
none,0.10095,0.11289,0.13902,0.17754,0.23147,-1,-0.87756,-4.44984,-2.4819
none,0.10067,0.11434,0.1407,0.17926,0.23033,-1,-0.87619,-4.44147,-2.474
none,0.10347,0.11564,0.14097,0.17747,0.22891,-1,-0.87457,-4.43915,-2.4705
none,0.10373,0.115,0.14278,0.17943,0.22817,-1,-0.873,-4.43501,-2.4641
none,0.10364,0.11762,0.13991,0.1783,0.22761,-1,-0.8713,-4.43697,-2.464
none,0.10363,0.11641,0.14013,0.18009,0.22677,-1,-0.86998,-4.43755,-2.4603
none,0.10741,0.11908,0.14088,0.1792,0.22655,-1,-0.86862,-4.43003,-2.458
none,0.10751,0.11757,0.14235,0.17804,0.22606,-1,-0.86737,-4.43217,-2.4558
none,0.10809,0.12074,0.14472,0.1802,0.22573,-1,-0.86621,-4.41782,-2.4488
none,0.10874,0.11991,0.14245,0.17927,0.22557,-1,-0.86479,-4.42585,-2.45
none,0.10946,0.12261,0.14365,0.18208,0.22259,-1,-0.86381,-4.41301,-2.4381
none,0.11024,0.12241,0.14519,0.1814,0.22276,-1,-0.86212,-4.41169,-2.4364
none,0.11149,0.12231,0.14551,0.18083,0.22308,-1,-0.86065,-4.41227,-2.4364
none,0.11241,0.12509,0.14663,0.18288,0.03728,-1,-0.85948,-4.32826,-1.9506
none,0.11381,0.12563,0.14796,0.18287,0.03426,-1,-0.82444,-4.34058,-1.9178
none,0.11488,0.12541,0.14844,0.18258,0.03233,-1,-0.79412,-4.35484,-1.8924
none,0.11641,0.12576,0.14879,0.18236,0.0277,-1,-0.76807,-4.36454,-1.8627
none,0.118,0.12906,0.15036,0.18178,0.02172,-1,-0.74515,-4.36327,-1.8297
none,0.11965,0.13021,0.15091,0.18229,0.01386,-1,-0.7245,-4.36576,-1.7942
none,0.12136,0.13079,0.15239,0.18455,0.00324,-1,-0.70549,-4.35732,-1.7231
none,0.07519,0.13629,0.2496,0.33896,0.07937,0,0,-2.29599,0.0418
none,0.07467,0.13537,0.2464,0.33897,0.07988,-0.05569,0.00297,-2.39186,0.0109
none,0.07468,0.1354,0.2468,0.33943,0.07988,-0.11187,0.00318,-2.47884,-0.0221
none,0.07468,0.13541,0.2472,0.33987,0.07988,-0.1682,0.00101,-2.56656,-0.0581
none,0.07468,0.13538,0.2476,0.3403,0.07988,-0.2247,-0.00324,-2.65503,-0.096
none,0.07466,0.1353,0.2484,0.34114,0.0799,-0.28139,-0.00933,-2.74297,-0.1369
none,0.07515,0.1361,0.2492,0.34194,0.07941,-0.33824,-0.01704,-2.82965,-0.1798
none,0.0751,0.13587,0.25,0.3427,0.07947,-0.3952,-0.02622,-2.92731,-0.2260
