timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, axialPower, turnPower
00:00:12,157.305,189.131,246.489,236.347,323.641,3.032,0.016,0.406,0.004,
00:00:12,158.869,198.419,224.329,264.73,302.508,3.427,0.015,0.453,0.004,
00:00:12,164.591,205.023,190.742,280.344,326.332,3.82,0.015,0.473,0.004,
00:00:13,177.317,171.971,218.948,255.223,305.688,4.036,0.015,0.478,0.004,
00:00:13,146.494,147.103,228.51,275.488,282.708,4.141,0.014,0.447,0.004,
00:00:13,112.802,201.55,198.018,249.228,260.538,3.879,0.015,0.372,0.004,
00:00:13,165.013,173.595,221.933,229.071,297.428,3.581,0.015,0.371,0.004,
00:00:13,149.692,196.057,199.929,210.481,285.796,3.523,0.015,0.404,0.004,
00:00:13,127.229,176.154,182.574,195.649,277.631,3.638,0.015,0.432,0.004,
00:00:13,151.144,154.669,163.446,235.962,269.929,3.816,0.015,0.452,0.004,
00:00:13,131.13,136.328,146.595,224.443,263.605,3.948,0.015,0.46,0.004,
00:00:13,108.925,115.42,184.271,211.634,257.737,4.032,0.014,0.457,0.004,
00:00:14,87.766,149.735,168.492,199.554,254.123,4.122,0.014,0.48,0.003,
00:00:14,122.248,134.509,154.73,188.86,252.136,4.251,0.013,0.497,0.003,
00:00:14,106.578,119.48,140.803,177.972,252.215,4.367,0.013,0.504,0.003,
00:00:14,89.624,102.873,125.183,166.301,583.944,4.478,0.012,0.508,0.003,
00:00:14,74.335,87.275,109.708,153.957,550.11,4.46,0.012,0.473,0.003,
00:00:14,61.687,74.353,97.283,147.128,519.334,4.342,0.013,0.469,0.003,
00:00:14,48.104,60.082,83.376,143.282,439.736,4.321,0.012,0.483,0.003,
00:00:14,36.91,48.132,72.315,464.152,411.133,4.226,0.012,0.432,0.003,
00:00:14,27.129,37.516,63.942,431.837,385.427,3.996,0.013,0.416,0.003,
00:00:15,20.853,31.261,66.445,356.098,363.093,3.914,0.012,0.448,0.003,
00:00:15,16.943,28.141,378.116,330.576,331.028,4.112,0.009,0.509,0.002,
00:00:15,372.398,353.345,346.153,301.152,289.858,4.47,0.004,0.552,-0,
00:00:15,338.681,321.025,314.193,268.608,279.675,4.743,-0.004,0.55,-0.002,
00:00:15,313.736,294.663,285.967,238.012,245.692,4.797,-0.01,0.524,-0.003,
